X,Y,OBJECTID,Codice Loc,Cod.Linea,Nome Local,DOIT,Tipologia,Nome dell',CODICE LIN,Categoria,Circolazio,Link - Url,Tariffa St,SCT,GlobalID,x,y,icon_url
11.1524912003831,45.1888910533999,"780","24120",K074,SANGUINETTO,Verona,Stazione,,VR31,Bronze,CA di Verona,,BRONZE,NORD EST,{E9FED4A3-23BE-4290-B99C-B3013FB952E0},"1241489.6415031138","5651307.696815283",./1.png
11.2139375161829,45.1966409604049,"781","24160",K074,CEREA,Verona,Stazione,,VR31,Bronze,CA di Verona,,BRONZE,NORD EST,{FC2CFD7C-7F70-4C52-B1ED-E264F65CFAD0},"1248329.8140890696","5652531.886650403",./1.png
11.3047383576959,45.189114261417,"782","24200",K075,LEGNAGO,Verona,Stazione,,VR31,Silver,CA di Verona,,SILVER,NORD EST,{24E8C2F7-2BBC-4A09-94B6-CB0EDD349686},"1258437.7175298904","5651342.952840641",./0.png
11.3623160458571,45.2174038585354,"783","24205",K213,BOSCHI S.ANNA,Verona,Fermata,,VR31,Bronze,CA di Verona,,BRONZE,NORD EST,{4C00E998-F5BF-4A3E-B0FD-180BFE6922D2},"1264847.2364570575","5655812.454886428",./1.png
11.39865907846,45.2302247728056,"784","24240",K213,BEVILACQUA,Verona,Stazione,,VR31,Bronze,CA di Verona,,BRONZE,NORD EST,{4ECD93F9-F01F-480E-956B-5552AA75A7AC},"1268892.924340297","5657838.776306096",./1.png
11.459890551567,45.2283229937414,"785","24280",K213,MONTAGNANA,Verona,Stazione,,VR31,Bronze,CA di Verona,,BRONZE,NORD EST,{28B28309-C18F-4E31-8C30-04B51674D31A},"1275709.1807470869","5657538.1748292865",./1.png
11.5351104590729,45.2228154182383,"786","24320",K213,SALETTO,Verona,Stazione,,VR31,Bronze,CA di Verona,,BRONZE,NORD EST,{8DE9F185-1B06-4624-88CE-D28A3399547F},"1284082.6225481615","5656667.6859986605",./1.png
11.606571847133,45.2217908723876,"787","24360",K213,OSPEDALETTO EUGANEO,Verona,Stazione,,VR31,Bronze,CA di Verona,,BRONZE,NORD EST,{DE9911E2-A65D-45F3-B402-0012EDE01D0E},"1292037.6678783875","5656505.762756464",./1.png
11.6629436163838,45.2210340957549,"788","24400",K213,ESTE,Verona,Stazione,,VR31,Bronze,CA di Verona,,BRONZE,NORD EST,{AC61EE24-2F36-480A-8DBE-640C126184FC},"1298312.9445265066","5656386.16068476",./1.png
10.9148540730518,45.3924656604451,"826","25480",K070,DOSSOBUONO,Verona,Stazione,,VR35,Bronze,CA di Verona,,BRONZE,NORD EST,{0DD25052-1A06-4D78-B615-0A38493CCCA0},"1215035.9974950138","5683520.241093965",./1.png
10.8490399186884,45.3498805131343,"827","25520",K070,VILLAFRANCA DI VERONA,Verona,Stazione,VILLAFRANCA DI VERONA,VR35,Silver,CA di Verona,,SILVER,NORD EST,{C8928EEF-0DF9-4457-8E55-2FB8DD1B09CD},"1207709.5993442964","5676772.224501074",./0.png
10.8236813876644,45.3067711739514,"828","25560",K070,MOZZECANE,Verona,Stazione,MOZZECANE,VR35,Bronze,CA di Verona,,BRONZE,NORD EST,{DE7298DE-6252-4839-9047-7F26126E8530},"1204886.700583429","5669946.314021185",./1.png
11.3487451012213,45.1531379163479,"906","26400",K214,VILLABARTOLOMEA,Verona,Stazione,,VR63,Bronze,CA di Verona,,BRONZE,NORD EST,{54D13FF0-4FC4-4550-AFE1-22DE3E33CDA4},"1263336.5258106103","5645662.221302352",./1.png
11.4039521373357,45.1194295165655,"907","26440",K214,CASTAGNARO,Verona,Stazione,,VR63,Bronze,CA di Verona,,BRONZE,NORD EST,{11B84053-A5B9-41F7-B658-439E5DDCA6F1},"1269482.1449590737","5640342.855737431",./1.png
11.4847440655681,45.0945198917835,"908","26480",K214,BADIA POLESINE,Verona,Stazione,,VR63,Bronze,CA di Verona,,BRONZE,NORD EST,{1EDEA5F1-9F47-49E5-B0E9-632C79EFB513},"1278475.861270106","5636414.002780918",./1.png
11.5916821290302,45.0818931810367,"909","26520",K214,LENDINARA,Verona,Stazione,,VR63,Bronze,CA di Verona,,BRONZE,NORD EST,{995908FC-126C-4EB1-9724-EAAFB88EA77C},"1290380.152041132","5634423.118270818",./1.png
11.6426179165264,45.0387588655858,"910","26560",K214,FRATTA,Verona,Stazione,,VR63,Bronze,CA di Verona,,BRONZE,NORD EST,{5D388831-7BB3-454B-9BCD-E24D402914CA},"1296050.297968366","5627625.34156093",./1.png
11.6965228197561,45.0458515772027,"911","26600",K214,COSTA DI ROVIGO,Verona,Stazione,,VR63,Bronze,CA di Verona,,BRONZE,NORD EST,{86938F68-934A-45E5-AC9A-9D0860893673},"1302050.9643471567","5628742.7692195885",./1.png
11.1238806746618,45.2545306121521,"912","26720",K212,BOVOLONE,Verona,Stazione,,VR64,Bronze,CA di Verona,,BRONZE,NORD EST,{A001E145-AB09-42D4-9B49-463B691DB0F5},"1238304.7323484933","5661681.52361197",./1.png
11.5678770222276,45.5653268311878,"913","26775",K069,ANCONETTA,Verona,Fermata,,VR65,Bronze,CA di Verona,,BRONZE,NORD EST,{FA1669D5-B62D-4337-85C2-438FB50639A5},"1287730.1796735914","5710964.066380299",./1.png
11.5698430980888,45.596156403789,"914","26780",K069,CAVAZZALE,Verona,Stazione,,VR65,Bronze,CA di Verona,,BRONZE,NORD EST,{0F3BA31F-A538-44E4-9E4B-BEFD198466F9},"1287949.0422373125","5715867.50334088",./1.png
11.5461248993259,45.6350728904869,"915","26820",K069,DUEVILLE,Verona,Stazione,,VR65,Bronze,CA di Verona,,BRONZE,NORD EST,{FA11B62B-7575-483A-9C16-13CAD3C110B4},"1285308.7444284954","5722061.010427444",./1.png
11.5242903515788,45.6570746962772,"916","26825",K069,VILLAVERLA-MONTECCHIO,Verona,Fermata,,VR65,Bronze,CA di Verona,,BRONZE,NORD EST,{5F2DBEBF-0436-4D71-B6DC-02B044A98D64},"1282878.1336915886","5725564.471845859",./1.png
11.4754208148666,45.700773334975,"917","26860",K069,THIENE,Verona,Stazione,,VR65,Silver,CA di Verona,,SILVER,NORD EST,{D4F2CDE4-EA13-49D0-9D53-1A7246A9124E},"1277438.0017494871","5732526.916742417",./0.png
11.4246236139761,45.7069353573081,"918","26865",K069,MARANO VICENTINO,Verona,Fermata,,VR65,Bronze,CA di Verona,,BRONZE,NORD EST,{9E318FA5-F947-4D3E-984C-6A7D14D10202},"1271783.2832126298","5733509.14106487",./1.png
