X,Y,DOIT,PROVINCIA,LINEA,COMUNE,KM_PL,TIPOLOGIA,LAT,LON,VIA,TIPO_ACCOR,AVANZAMENT,LINK,Codice_SFM,icon_url
12.21290584,46.14508646,VE,(BL),54_PADOVA-CALALZO,BELLUNO,85+558,Barriere complete,46.1450864600000,12.2129058399999,Via Gaspare Diziani,,,,,./0.png
12.23459101,46.16329641,VE,(BL),54_PADOVA-CALALZO,BELLUNO,88+521,Barriere complete,46.1632964100000,12.2345910100000,Via Francesco Tomea,ACC_2018,PFTE,Belluno,,./1.png
12.23782394,46.1649961,VE,(BL),54_PADOVA-CALALZO,BELLUNO,88+836,Barriere complete,46.1649961000000,12.2378239400000,Via Francesco del Vesco,,,,,./0.png
12.24341197,46.16871692,VE,(BL),54_PADOVA-CALALZO,BELLUNO,89+426,Barriere complete,46.1687169200000,12.2434119700000,Via Fiammoi,ACC_2018,USCITO_ACC_2018,,,./1.png
12.23070275,46.1616065,VE,(BL),54_PADOVA-CALALZO,BELLUNO,89+688,Barriere complete,46.1616064999999,12.2307027500000,Via Safforze,,,,,./0.png
12.25484276,46.17367295,VE,(BL),54_PADOVA-CALALZO,BELLUNO,90+584,Barriere complete,46.1736729499999,12.2548427600000,Via Safforze,,,,,./0.png
11.37687972,45.2234423,VR,(VR),48_CODOGNO-MANTOVA-MONSELICE,BEVILACQUA,142+453,Barriere complete,45.2234423000000,11.3768797200000,Via Nuvola,,,,,./0.png
11.38746662,45.22787139,VR,(VR),48_CODOGNO-MANTOVA-MONSELICE,BEVILACQUA,143+429,Barriere complete,45.2278713899999,11.3874666200000,Via Santa Lucia,,,,,./0.png
11.40023667,45.23008414,VR,(VR),48_CODOGNO-MANTOVA-MONSELICE,BEVILACQUA,144+497,Barriere complete,45.2300841400000,11.4002366700000,Via Caseggiato,,,,,./0.png
11.61176181,45.57923136,VE,(VI),55_VICENZA-TREVISO,BOLZANO VICENTINO,7+588,Barriere complete,45.5792313600000,11.6117618100000,Via Albereria,,,,,./0.png
11.35247699,45.21319752,VR,(VR),48_CODOGNO-MANTOVA-MONSELICE,BOSCHI SANT'ANNA,140+236,Barriere complete,45.2131975200000,11.3524769900000,Via Belfiore,,,,,./0.png
11.06764204,45.26328902,VR,(VR),48_ISOLA DELLA SCALA-ROVIGO,BOVOLONE,32+249,Barriere complete,45.2632890200000,11.0676420400000,SP24,ACC_2017,,,,./2.png
11.11445739,45.25382379,VR,(VR),48_ISOLA DELLA SCALA-ROVIGO,BOVOLONE,36+077,Barriere complete,45.2538237899999,11.1144573900000,Via Crosare,ACC_2017,,,,./2.png
11.12675545,45.25465416,VR,(VR),48_ISOLA DELLA SCALA-ROVIGO,BOVOLONE,37+046,Barriere complete,45.2546541600000,11.1267554499999,S.P. 2,,,,,./0.png
11.159919,45.23869432,VR,(VR),48_ISOLA DELLA SCALA-ROVIGO,BOVOLONE,40+233,Cancello/Catena con lucchetto/Altro,45.2386943200000,11.1599190000000,,,,,,./0.png
11.90042722,45.50463658,VE,(PD),55_BASSANO-PADOVA,CAMPODARSEGO,36+583,Barriere complete,45.5046365800000,11.9004272199999,Via dei Toni,,,,,./0.png
12.29660527,45.67272211,VE,(TV),57_TREVISO-PORTOGRUARO,CARBONERA,4+513,Barriere complete,45.6727221100000,12.2966052700000,Via Bianchini,,,,,./0.png
11.75921,45.74125,VE,(VI),55_BASSANO-PADOVA,CASSOLA,3+173,Barriere complete,45.7412500000000,11.7592099999999,Via Croceron,,,,,./0.png
11.79618935,45.73212377,VE,(VI),56_MESTRE-TRENTO,CASSOLA,45+369,Barriere complete,45.7321237700000,11.7961893500000,Via Roma,probabile ACC_2017?,,2.09 non fattibile,,./0.png
11.78908722,45.73595672,VE,(VI),56_MESTRE-TRENTO,CASSOLA,46+067,Barriere complete,45.7359567199999,11.7890872200000,Via Grande,ACC_2017,PFTE,56_MESTRE-TRENTO\PL\2.10_Cassola_46+067_Via Grande,,./2.png
11.77386518,45.7450105,VE,(VI),56_MESTRE-TRENTO,CASSOLA,47+617,Barriere complete,45.7450104999999,11.7738651800000,Via Don Luigi Bressan,ACC_2017,,,,./2.png
11.76505022,45.75038319,VE,(VI),56_MESTRE-TRENTO,CASSOLA,48+544,Barriere complete,45.7503831900000,11.7650502199999,Via Monte asolon,ACC_2017,,,,./2.png
11.40015882,45.1221879,VR,(VR),48_ISOLA DELLA SCALA-ROVIGO,CASTAGNARO,64+857,Barriere complete,45.1221879000000,11.4001588200000,Via Borgonovo,ACC_2017,,,,./2.png
11.40241307,45.12051073,VR,(VR),48_ISOLA DELLA SCALA-ROVIGO,CASTAGNARO,65+116,Barriere complete,45.1205107299999,11.4024130700000,Via Ragona,ACC_2017,,,,./2.png
11.40722396,45.11693112,VR,(VR),48_ISOLA DELLA SCALA-ROVIGO,CASTAGNARO,65+665,Barriere complete,45.1169311199999,11.4072239600000,Via Basse,,,,,./0.png
11.41001597,45.11487456,VR,(VR),48_ISOLA DELLA SCALA-ROVIGO,CASTAGNARO,65+982,Barriere complete,45.1148745599999,11.4100159700000,Via Bongenti,ACC_2018,PD,Castagnaro,,./1.png
11.41400644,45.11231267,VR,(VR),48_ISOLA DELLA SCALA-ROVIGO,CASTAGNARO,66+406,Barriere complete,45.1123126700000,11.4140064400000,Via Cimitero,,,,,./0.png
11.9795229,45.6968354,VE,(TV),54_PADOVA-CALALZO,CASTELFRANCO,17+146,Cancello/Catena con lucchetto/Altro,45.6968353999999,11.9795228999999,,,,,,./0.png
11.953813,45.673451,VE,(TV),54_PADOVA-CALALZO,CASTELFRANCO VENETO,13+87,Barriere complete,45.6734510000000,11.9538130000000,via Pagnana,,,,,./0.png
11.948455,45.660304,VE,(TV),56_MESTRE-TRENTO,CASTELFRANCO VENETO,30+517,Barriere complete,45.6603039999999,11.9484549999999,via De Amicis,ACC_2017,PE,56_MESTRE-TRENTO\PL\6.36_Castelfranco_30+517_via_DeAmicis,,./2.png
11.90207622,45.66243586,VE,(TV),55_VICENZA-TREVISO,CASTELFRANCO VENETO,32+994,Barriere complete,45.6624358600000,11.9020762200000,via Larga,,,,,./0.png
11.917203,45.666609,VE,(TV),56_MESTRE-TRENTO,CASTELFRANCO VENETO,33+479,Barriere complete,45.6666090000000,11.9172030000000,Via Piave,ACC_2017,PFTE,56_MESTRE-TRENTO\PL\2.01_Castelfranco_33+479-33+786,,./2.png
11.914045,45.668307,VE,(TV),56_MESTRE-TRENTO,CASTELFRANCO VENETO,33+786,Barriere complete,45.6683069999999,11.9140450000000,Via Brenta,ACC_2017,PFTE,56_MESTRE-TRENTO\PL\2.01_Castelfranco_33+479-33+786,,./2.png
11.915596,45.66452,VE,(TV),55_VICENZA-TREVISO,CASTELFRANCO VENETO,34+073,Barriere complete,45.6645200000000,11.9155960000000,Via Castellana,,,,,./0.png
